WORD1;WORD2
curvilinear section;криволинейная секция
Custom house charges;Таможенные расходы
Customs clearance;"Очистка от таможенных пошлин; таможенная очистка"
Custum seal;Заказной (?) герметик
cut;вырез
cut sheet media;блок резки листа
cut-out;вырез
cutter;резак
cutter drawer;режущий дравер
Cutting file;Программа резки
cutting program;карточка труб, карта (программа) резки
Cutting sketch;Карта резки
Cutting/marking robot;Робот резки/маркировки
Cyanided part;Цианируемая деталь
Cyaniding;Цианирование
cyclone separator;установка циклонов
D;
D.O.serv.tank;Цистерна отработанного масла
Daily rate;Прямая повременная система заработной платы
Damage;Поломка, убыток, ущерб, вред, урон
damp state;сырое состояние
datamation;вычислительная техника
Date of delivery;Срок поставки
date of starting production;дата начала работ
Daughter craft;Дочернее небольшое судно (катер)
davit;Шлюпбалка, трап-балка, крен-балка, кран-балка
Day room;Салон
Day tank;Расходная цистерна
DC- current;Постоянный ток
deadline;Крайний срок
Deadman’s handle;Рукоятка с кнопкой безопасности
deadweight;Дедвейт, полная (валовая) грузоподьемность
Deadweight load;Собственный вес, постоянная (статистическая) нагрузка
deadwood;дейдвуд
deaeration cap;воздушная головка
Deaeration vent cap;Вентиляционная головка для выпуска воздуха
debris;строительный мусор
deciphering;расшифровка
Deck drain system;Сточная система
deck girder;карленгс
deck head;подволока
Deck planking;Настил палубы (деревянный)
deck plating;палубное покрытие,(металлический) настил палубы
Deck washing machine;Система обмывания палубы
Deck water system;Система орошения палубы (танкера)
deckhouse;рубка
decoration material;декоративно-отделочный материал
decorative wall lamp;декоративная настенная лампа
decrease;уменьшение
Deep fry boiler;Глубокий котел для жарки
default of payment;неуплата
defective weld;дефективный (недоброкачественный) шов
Defectiveness;Неисправность
definition;наименование
deflected;Отогнутый
Deflection angle;Угол отклонения
degreasing agent;обезжириватель
degree;степень
Dehydrator;Водоотделитель
delivered air;пусковой воздух
Delivery time;Срок поставки
Delution;Разбавление, разжижение
demarcation;разграничение, ограничение
demolishing;уничтожение, разрушение, снос
dense cut;плотный вырез
densimeter;денсиметр
densitometer;денсиметр
density;плотность
dent;Вмятина, выбоина
Deposit;Отложение, осадок, отстой, нагар
Depreciation;Обесценивание, снижение стоимости, пренебрежение, скидка на порчу товара, амортизация, изнашивание, физический или моральный износ (оборудования)
Depreciation expences;Амортизационные отчисления
derrick;стрела
Dertimental;Вредный
design department/office;конструкторское бюро
design office;проектный центр, проектно-конструкторское бюро
design point;расчетная точка
design section;расчетное сечение
designation;обозначение
Desktop telephone;Настольный телефон
despite;Несмотря на
Detachable and admission grating;Откидная решетка, служащая для прохода
Detail;Узел (на поле чертежа)
detail drawing;детальный чертеж
detecting;обнаруженный
detergent;Моющее средство, очищающее средство, детергент
determination;определение
devaluation;девальвация
Developed length;Осевая длина
developer module;модуль проявителя
deviation;отклонение
device;прибор
Device for profile edge preparation for welding;Устройство подготовки кромки профиля под сварку
Dewfall;Выпадение росы
diametrical section;поперечное сечение
diamond;ромб
diaphragm valve;мембранный клапан
diffuser cowling;диффузная обечайка
digestive;Средство, способствующее пищеварению
Diligent;Прилежный, усердный, старательный
Dimensional chain;Размерная цепочка
Dimensional figure;Размерная цифра
dimmer;дроссельная катушка
dimple;Вмятина, выбоина
dining-room;столовая
Dipped hot galvanizing;Покрытие горячим расплавленным цинком
direct charge;переменные расходы (затраты)
Direct cost;Переменные издержки
Direct current;Постоянный ток
direct telephone line;прямая телефонная линия
Direct-acting engine;Двигатель с прямой передачей
directive;Указание
director general;начальник порта
disagreement;несогласие, разногласие, несоответствие
disc;диск
disc depression weld;точечное соединение, полученное при сварке с круглой накладкой малого диаметра
discharge;выпуск, выброс (газа, пыли)
Discharge device from sink;Сток из раковины
discharge nozzle;сопло эжектора
Discharge room;Помещение зарядного устройства
Disciplinary penalty;Дисциплинарное взыскание
discompleting;раскомплектование
disk drive;дисковод
dismantling;демонтаж, уборка
dismissed;"Распущен; отпущен; уволен"
dispatch;отправление
Dispersion adhesive;Дисперсионный клей
displacement;расположение, нахождение, водоизмещение, смещение
Disposition by length;Расположение по длине
Distance bush;Распорная втулка
distance piece;прокладка, распорка
Distilled water;Дистиллированная вода
distinct documentation;отчетная документация
distinctive label;отличительная табличка (планка)
distribution box;распределительная коробка
Ditto (немецк.);Тоже самое
diverse;"Разный; различный"
Diversion;Отклонение, отступление
Divided fire;Рассредоточенные огонь
Division wall;(разделительная) перегородка, перемычка
DO daily tank;Расходная цистерна отработанного масла
do-bo section;секция второго дна
document feed-in shelf;полка подачи документа
document handler;держатель документа
dog;задрайка
domestic help agency;бюро добрых услуг
dooly way;эстакада
Door brake;Дверной стопор
Door contact;Дверной контакт
door curtain;штора на двери
Door frame;Рама двери
Door platband;Дверной наличник
Door pump;Дверной закрыватель
Door stop;Дверной упор
Double bottom;Второе дно, междудонное пространство
Double content fillet weld;Угловой сварной шов двойного объема
Double tee section bar;Двойная Т-образная секционная полоса
Double-acting valve;Клапан двойного действия
double-bevel butt weld;К-образный стыковой шов с двумя скосами одной кромки
double-bottom space;междудонное пространство
Double-bottom tank;Междудонная цистерна
Double-corrugation;Сдвоенный гофр
Doubler;Дублир, платик
double-sided weld;двухсторонний шов
Doubling plate;Дублир, усиливающий лист
Dough board;Доска для теста
Dough-mixer;Тестомешалка, тестомесилка
Dowel pin;Установочный штифт, нагель
Down;По вертикали
Down time;Время простоя
Down-hand welding;Нижняя сварка
Downpipe;Водосточная труба
Downward welding;Сварка сверху вниз
draft;обжатие
Draft mark;Марка углубления, шкала усадок
draft schedule;черновой график
Draft stop;Противопожарная стена
Drain box;Сточный колодец,(дренажная) сточная коробка
Drain cock;Сливной кран
drain pipe;сточная труба, водоотливная труба
Drain pipe;Сточная труба
drain plug;спускная пробка, пробка отливного отверстия, сливная пробка
drainage;осушение
Draught;"Осадка; сквозняк; тяга"
Draught indicator;Осадкомер
draught mark;марка углубления
Drawback;Отпуск
drawing office;конструкторское бюро
Drawing to scale;Черчение в масштабе
Drawing up;Оформление (документа)
Drawn arc welding;Цельная (вытянутая) дуговая сварка
drawn to scale;В масштабе
drift;Выколодка, бородок, шлямбур, пробойник, пуансон протяжки, дорн
drill;сверло, дрель, сверлильный станок
drilling;расточка
drilling machine;сверлильный станок
Drip-tray;Поддон (для сборки капель)
drive collar;приводной хомут
drive roll;ведущий ролик
Drive system;Система привода
drive-down;понижающая передача
drive-up;"Увеличение числа оборотов; повышающая передача"
Driving tracks;Приводы (?)
Dry bulk tank;Сухая наливная цистерна
Dry cargo deadweight;Вес сухого груза
Dry compartment;Сухой отсек
dry-dock staging;доковые леса
Dryer;Сушилка
drying;осушение
Drying machine;Сушильная машина
Drying tumbler;Сушильная машина
Ducktail;Кормовая часть судна
ductwork;водосточный канал (?)
dull;Матовый
Dull varnish;Матовый лак
Duly;Должным образом, в должное время
Dummy funnel;Фальшивая дымовая труба, фальштруба
Dump;Свалка, разгрузка, выгрузка, насыпь, склад
Dump condenser;Сбросной конденсатор
duplex spot weld;дуплексный точечный шов
durability;прочность
Duration;Продолжительность, срок длительности, длительность
During the currency of the Contract;В течение срока действия договора
dust;пыль, мусор
dust collector;коллектор пыли
Dust cyclone;Пылевой циклон
Dutiful (man);Исполнительный (человек)
Duty mess;Дежурная столовая
dwell time;время перерыва
E;
ear defenders;бируши
earning;зарплата
Earth plate;Планка заземления
earth return cable with earth clamp;заземленный кабель с клеммой
easy guy pendant;мантыль легких оттяжек
echo sounder recess;выгородка эхолота
ECR (Engine control room);Пост управления двигателем
edge;кромка, фаска, край
Edge grinding site;Участок зачистки кромки
Edge preparation;Разделка кромок
edge sweeping;зачистка кромок
Edge, corner cutout and water stop;Воздуховод (OSS)
edge-beating machine;кромкоскалывающая машина
Edging;Отводка полоски, обработка края, обработка кромки, окантовка, изгиб кромки
Edging strap;Окантовочная планка
educed gas;выделяющийся газ
effective way;оперативное использование
efficiency;эффективность
effluents;выбросы
effort;усилие
elbow;колено
Electric control system;Электрическая система контроля
electrical box;электрошкаф
Electrical control unit;Электрощит управления
Electrical loader;Электропогрузчик
Electrical outlet;Электророзетка
electrical pipe with connection boxes alongside the coamings;ТЗК с соединительными пробками вдоль комингса
electrical-magnet;электромагнитный
electrode;электрод
Electrode gear;Электродное устройство
electro-galvanizing;электро-гальваническое покрытие
electrolysis;электролиз
electronic communication;электронная связь
Elephant grating;Помост, решетка
elevation;Вертикальная проекция
elevator;Лифт
Elevator trunk;Шахта лифта
Ellipticity;Эллиптичность
elongation;растяжение, удлинение
E- mail;электронная почта
Embarkation platform;Погрузочная платформа
emergency;аварийный
Emergency fire pump room;Отделение аварийных пожарных насосов
employment agency;бюро по трудоустройству
Empty;Пустая тара
emulsifier;эмульгатор
enclosure;приложение, добавление
encoding;Кодирование
encouragement;Стимулирование, поощрениие, побужение, поддержка, одобрение
End bulkhead;Концевая переборка
end door;торцевая дверь
End plate;Концевой лист, концевая шайба
end wall;торцевая стенка
End-cut;Концевой рез
energized;Под напряжением
Energy costs;Затраты на энергию
Engagement;Вхождение в сцепление, включение сцепления, вхождение в контакт, зацепление
Engine casing;Шахта МО
engine control;рычаг управления двигателем
engine room;машинное отделение
engineering;проектирование
engraved;Гравированный
Enhanced quality;Повышенное качество
Entity;Самостоятельное хозяйственное подразделение, предприятие, организация, экономический объект
entrepreneurship;предпринимательство
entry;Проход, вход, запись, таможенная декларация
environment;окружающая среда, обстановка, окружение
Equipment;Оборудование, оснастка
Equipment for removal of prime from metal;Оборудование для снятия грунта с поверхности
Erection joint;Монтажный стык
Erection region;Монтажный район
Escape hatch;Спасательный люк, аварийный люк
Escape route;Маршрут спасения
Escape rungs;Переходные ступени, аварийные ступени
Essential oil;Эфирное масло
establishment of consumption standards;нормирование потребления
estimation;расчет
evaporate;испарять, обезвоживать, улетучиваться
evaporator;Испаритель
Even purring;Ровный гул
Evenly even;Кратный четырем
Eventually;В итоге, в конце концов
every day life;бытовой
examination;приемка, осмотр
Exceptional circumstances;Особые обстоятельства
Excerpt;Выборка, выдержка, отрывок
Excessive weld reinforcement;превышение усиления сварного шва
exhaust fan;вытяжной вентилятор
Exhaust gas boiler;Утилизационный котел, котел газовыхлопа
Exhaust gas casing;Шахта дымовой трубы
exhaust piping;трубопровод для выпуска отработавшего пара в атмосферу, выхлопная труба
Exhaust port;Выпускной канал
Exhaust reducer;Выхлопной (выпускной) редуктор
Exlusively;Единственно, исключительно, только
Expanded;Расширенный
expansion;расширение
expansion bolt;дюбель
Expansion joint;Температурный компенсатор, компенсирующий стык, компенсационный шов
Expences for accommodation;Расходы на проживание
expenditure rate;норма расхода
Expenses for housing;Расходы на жилье (на приобретение жилья)
experimental machine;испытательная машина
Experimental order;Экпериментальный порядок
expiration;истечение (срока)
Expiration date;Конечный срок действия
Expiry;Окончание, истечение срока
explosive machine;разрывная машина
Exposed platform;Открытая платформа
express-analysis;экспресс-анализ
express-analyzer;экспресс-анализатор
Extending;Удлинение
extension;расширение, увеличение
Extension;Пристройка
external and internal;наружный и внутренний
external inspection;внешний осмотр
Extract;Выписка
Extractor hood;Вытяжной колпак
extrusion;выступ
Eye link;Звено обуха или обух
Eye plate;Планка с обухом, палубный обух
Eye splice;аделка конца каната в петлю
Eye splice;Заделка конца каната в петлю
eye-bolt;рым, обух
Eye-bracket;Проушина
F;
F.O. flowmeter inlet;Впуск (впускное отверстие)топливного расходомера
F.O. service unit;Установка подачи жидкого топлива
F.O. suction filter;Всасывающий фильтр жидкого топлива
F.O. transfer pump;Насос для перекачки жидкого топлива
F.P.;Носовой перпендикуляр
F.W. hydrophore tank;Цистерна гидрофора пресной воды
F.W. treatment plant;Установка обработки пресной воды
fabrication;обработка, изготовление
facade;фасад
face;Лицевая поверхность, лицевая сторона, торец
Face plate;"Полка (составной балки), не прилегающей к обшивке; лицевой лист, торцевой лист, поясок, внешний фланец, планшайба"
Face shield;"Защитная маска; сварочный щиток"
Facilities;Средства, оборудование, приспособления
facility;сооружение
Facing;Торцовка
factor;коеффициент, фактор
Factory hand;Рабочий на заводе (фабрике)
Failure;Поломка, авария
fairing;Обтекатель, уменьшение лобового сопротивления
fairing work;правка
fair-lead;киповая планка
Fairway;Фарватер, судовой канал,судовой ход
Fairway marking;Навигационная обстановка
Fall;осыпаемость, лопарь
Fall rope;Лопарь, ходовой конец (снасти)
Fan-shape;Веерообразная форма
Fan-shaped;Веерообразный
Farthest;Самый дальний, отдаленный, самый поздний
Fastener;Крепежная деталь, запор, зажим, задрайка
Fastener for telescope scaffolding bracket;Крепление для телескопической бракеты
Fastening;привязка, закрепление, крепление
fastenings;Крепежные детали
fast-wear;быстроизнашивающийся
Fathometer;эхолот
Fatigue;усталость металла
Faucet;раструб (трубы), патрубок, водопроводный кран, вентиль, пробка, втулка
fault detection;деффектоскопия
fault detection list;дефектовочная ведомость
Feasible;Осуществимый, выполнимый, подходящий, годный, возможный, вероятный
fecal and downpour sewerage;фекальная и ливневая канализация
Fee;Сбор, пошлина, взнос, комиссионный сбор
Feed;подавать
Feed water;Питательная вода
Feedback;Обратная связь, ответная реакция
Feeding;Подача
Feeding mechanism;Подающий механизм
Feeler gauge;Толщиномер
Female connection;Соединительная деталь, охватывающая другую деталь
Fender;привальный брус, кранец
ferrite;феррит
ferry;паром
fertilizer;удобрение
Fettled casting;Отливка с удаленной литниковой системой, отпескоструенная отливка
Fettling;Ремонт, заправка, наварка, зачистка, очистка, обрубка (отливки или поковки), наладка (оборудования)
Fiber board;Древесно-волокнистая плита
fiber glass;стекловолокно, стеклопластиковая (дверь)
fiber glass door;стеклопластиковая дверь
Fiber wood;Картон
fictive shaft line;теоретическая модель валопровода
Field analysis;Анализ в эксплуатационных условиях
Field test facilities;Оборудование для эксплуатационных испытаний
file cabinet;секция с выдвижными ящиками
filing machine;опиловочный станок
Fill in;Отверстие для заполнение (напр. цистерны)
filler;заполнитель
filler metal;наплавленный металл
Filler points;Поры, заполненный филлером
fillet weld;"Угловой сварной шов; валиковый сварной шов; сварной шов внахлестку"
filling;заполнение, наполнение, погрузка, засыпка, заливка, заправка горючим, шпатлевка, заряд (снаряда)
Filling pipe;Приемная труба
filling up;засыпка
film;пленка
Filter box;Коробка фильтра
filter-ventilation installation;фильтровентиляционная установка
Final inspection;"Приемная комиссия; финальная инспекция"
final mark;конечная отметка
Fineness;Крупность
finished article;готовое изделие
finished stock No;складской номер готового изделия
finishing the work on block;сдача блока
Finishing work;Чистовая обработка
fir;Ель
Fire and deck wash pipe system;Система пожарных трубопроводов и труб для обмывания палубы
Fire barrier;Противопожарный целик
Fire damper;Противопожарная заслонка
fire division;Противопожарное перекрытие, пожарное отделение, пожарный контур
fire door;пожарная дверь
fire flaps air receiver;рессивер противопожарной захлопки
Fire insulation;Огнестойкая изоляция
Fire main line;Пожарная магистраль
fire protection equipment;противопожарное оборудование
fire protection sewage;вода для противопожарной защиты
Fireclay material;Шамотный материал
firefighting;Пожаротушение
Fire-prevention screen;Экран предупреждения пожара
first;первый, первоочередный
first circle deckhouse’s deck;палуба рубки первого яруса
first engineer;старший помощник командира корабля
Fitness-for-purpose;Пригодность для определеннойцели
Fitted pipe;Соединительный патрубок
fitter;судосборщик
fitting;подгонка, установка
fitting for spark;крепление искрогасителя
Fitting pipe;Соединительный патрубок
fittings;арматура, приборы, оборудование, принадлежности, соединительные части
fixed charge;постоянные затраты
fixed line connection;фиксированная линия связи
fixed window;глухой иллюминатор
fixed working hours;нормированный рабочий день
fixing of output rates;нормирование
fixing parts;крепеж
Fixing pawl;Лапка крепления
fixing strap;планка крепления
Fixtures;Крепеж
Flame hardening;Пламенная закалка
flange;фланец
Flange yoke;Фланцевая траверса
Flanged pipe;Труба (патрубок) с фланцами
flanging machine;фланжировочный станок
flap;заслонка
flash point;точка воспламенения, температура воспламенения
flashing indicator;вспыхивающий индикатор
flat;платформа, плоская поверхность, фаска, лыска
flat bar;"полоса; гребенка"
flat bar set;гибочный шаблон
Flat denial;Категорическое опровержение
Flat iron;Полосовое железо
Flat screen;Плоский экран
flat stern;плоская корма, транцевая корма
Flexural vibrations;Изгибные колебания
floating dock;плавучий док
floating floor;палубный настил
floating-up;всплытие
Flood;Наводнение, разлив
floor;флор, пол, настил
Floor base;Основание полов
Floor ceiling;Пайол
Floor-floor tiles;Керамическая плитка
Flow chart;МТК
Flow rate;Расход, скорость потока, интенсивность подачи
flow trap;потокоуловитель
flowmeter;расходомер
Flush;Заподлицо, вровень, без выступов, впотай, струя, промывать струей, смывать струей, наводнение, затопление
Flush side;Плоская сторона
flushing;промывка
flux;флюс, флюкс
Flux cored wire;Электродная порошковая проволока
Flux feeding and suctioning system;Система подачи и всасывания флюса
flux oil;гудрон
flywheel;маховик
Foam;Пена, пенопласт
foam fire extinguisher;пеногонный огнетушитель
Foamer;Пеногенератор, пенообразователь
Fog siren;Туманный горн
Foil glue tape;Клейкая лента из фольги
fold;изгиб
Folding device;Заваливающееся устройство
folding machine;фальцевальная машина
Follow-up;"Последовательное выполнение; контроль сроков исполнения; календарный контроль; напоминание о сроках выполнения обязательства; новые материалы; дополнительные данные"
follow-up examination;повторный осмотр
Follow-up visit;Повторный, уточняющий визит
Food safety;Безвредность пищевых продуктов
food waste;пищевые отходы
foot;Опорная лапа
footplate;Опорная плита
Force-majeure;Форс-мажорные обстоятельства
fore;Носовая оконечность, нос, передний, носовой, в носовой части, впереди
Fore edge;Носовая кромка (листа)
fore kant;носовой край (торец)
fore mast;носовая мачта, фок-мачта
Fore-and-aft;Продольный, параллельный ДП,вдоль коробля, по всей длине коробля
forecastle deck;палуба бака, бак
forehold;передние двери шкафа
Foreighn matters;Инородные материалы, инородные вущества
Foreign Trade Arbitration Commission;Внешнеторговая орбитражная коммисия
foreman;мастер
foremost;"Первейший; самый главный, первоочередный"
fore-peak;форпик
Foreship;Носовая часть судна
Forged piece;Поковка
Form of section;Форма сечения
former diameter;диаметр шаблона
forming;формирование
Forthwith;немедленно
forward;носовой
forwarder;транспортно-экспедиторское бюро
foundation;фундамент, основание
foundation area;котлован
foundation-bottom;основание-донышко
Foundry industry;литейная промышленность
Fountain;Фонтанчик
Four-point lifting;Подъем методом четырех точек
Four-side edge beating machine;Четырехсторонний кромкоскалывающий станок
fracture;трещина
frame;шпангоут, рама, набор, каркас
frame for carrying of panels in casing;рамка для зашивки шахты
frame side;рамочная сторона (борт)
Frame-spacing;Шпация
Framework;Каркас
framing;набор
free cut;свободный вырез
Free detail;Забойный узел
Free hand cutting;Резка вручную
freeboard;надводный борт
Freedom of thickness;Степень свободы для толщины (±)
freeing hole;отверстие стока
fresh water;пресная вода
fresh water and oil tank heating coil pipe;змеевик обогрева цистерн пресной воды и масла
fresh water system;система пресной воды
friction feeder;питатель трения
fridge benefit;дополнительная льгота
from elsewhere;со стороны
From within;Изнутри
Fryer;Обжарочный аппарат
Frying pan;Сковорода для жарки
fuel;топливо
fuel injection valve;форсунка
Fuel oil filling pipe;Приемная труба жидкого топлива
Fuel oil service unit;Установка подачи жидкого топлива
Fuel oil tank;Топливная цистерна
Fuel oil transver system;Система перекачки топлива
Fuel overflow;Перелив топлива
Fuel supply station;Станция подачи топлива
fuel system;топливная система
Functional inspection;Пооперационный контроль
Funds;Финансовые средства
funnel;Воронка, труба дымовая
furnace;Печь, топка, котел, тепловой узел
furniture door;мебельная дверь
fuse;Плавкий предохранитель
G;
gab;зазор
Gage (gauge);Калибр, мера, размер, сортамент, толщина (листового металла), диаметр (проволоки или винта)
galley;камбуз
Galley range;Камбузная плита
galvanizing production;гальваническое производство
game locker;шкаф для игр
gammagraphy;гаммаграфирование
gangway;Сходня, проход
gantry crane;козловой кран
gap;крюк, вилка, выемка, отверстие, вылет, вынос, зазор
Garbage chute;Мусорный желоб
Garbege room;Помещение для мусора, мусороприемник
Garnet;Гранат
Gas gouging;Газовая строжка
gasket;прокладка
gas-main;газопровод
gas-permeability;газопроницаемость
Gate hinge;Петля ворот
Gate valve;Задвижка (для трубопровода)
Gauge board;Панель с измерительными приборами
Gear box;Коробка передач
general-purpose;универсальный
General-purpose davit;Кран-балка общего назначения
Generation;"Формирование, создание, производство; поколение"
genset;дизель-генератор
Geotextiles;Геотекстиль
Gib;"Планка; стрела, укосина (крана); вкладной клин; чека, шпилька; скоба, захват; направляющая рейка"
girder;балка, ферма
Girder-door;Решетчатая дверь
Give-away price;Почти даром
glass;стекло
glass holder;рама (иллюминатора)
glazurite;Глазурит
globe valve;вентиль
glow flake;накаленный комочек, осколок
glue;клей
go slash;идти под наклоном
Goffer-package;Гофра-тара
goniometer;угломер
gooseneck;вертлюжный штырь для гика или стрелы, шлюпбалкаtr
Gouging;Строжка
grab;грейфер
grade of steel;состав стали
grade of steel material;марка стального материала
Grading;Градулометрический состав
grain;зерновой
Grain bulkhead;Зерновая разделительная перегородка
Gram-negative bacteria;Грамотрицательные бактерии
graphic fault display/td>;дисплей графических ошибок
grating;Решетка, паел
Grave consequences;Трагические последствия
Gravity tank;Напорная цистерна (бак)
grease;густая смазка
Grease lubrication line;Линия густой смазки
greasy;сальный
grid;Сетка, решетка, сеть (трубопровода), змеевик, батарея
grinder;точильный камень
grinding;шлифовка, зачистка, прошкуривание
Grinding device;турбинка
Grinding efficiency;Степень очистки
grinding machine;шлифовальный станок
Grinding manipulator;Участок зачистки кромки
Grinding of overlap zones into original painted areas;Гребенка
Grinding of paint edges;Гребенка, уступ краски
Grinding with sand paper;Прошкуривание
Grip;зажимной
grip ring;зажимное кольцо
griping;захватывание, сжимание
Grit collection system;Система для сборки грита
grit elevator;подъемник для грита
Grit regeneration system;Система регенерации грита
groove;желобок, паз
grooved drum;барабан с канавками
Group of cables;Пучок кабелей
Grub screw;Установочный винт с плоским концом и шлицем под отвертку
guard;Защитное приспособление, защита
Guard rack;Защитная стойка
Guard railing;Леерное ограждение
guidance;руководство
guide;направляющая
Guide device;Центрирующий упор
guide plate;направляющая плита (лист)
guide-pin;направляющий шплинт
guillotine;гильотина
gutter;Ватервейс, водопроток (у ватервейса), желоб
Gutter bar;Угольник ватервейса
Gutter waterway;Водопроток, ватервейс
guy;оттяжка
H;
Hair-line crack;Тонкая трещина
half round bars;полукруглая сталь
Half-finished product;Заготовка
Half-finished production shop;Заготовительный цех
Hallow profile;Квадратный профиль (немцы)
hammer;молоток, молот
hammerdrill;перфоратор
Hammering;"Постукивание, стук, удары; ковка, чеканка; стуки, перебои"
Hand hole;Лючок, смотровое отверстие
hand rail bracket;кронштейн
handbar;Ручка, рукоятка
Hand-cutting;контуровка
Handed over frame;Передаваемая рама
Handhole;Лючок, горловина
handle-stop;рукоятка-стопор (трубы)
handling;Перемещение, транспортировка, эксплуатация
Handling system;Система транспортировки
handrail;Леерное ограждеие, поручень
handrail stanchion;стойка поручней
Handwheel;"Маховик; штурвал"
hanger;подвеска
hanger bracket;подвеска
hanger for clothes;вешалка для одежды
harbour cabin;жилая каюта (в отличие от походной)
Harbour gen. set;Стояночный генератор
harbour master;капитан порта
hard ware;техническое обеспечение
hardcopy;Документальная копия
Hardener;Отвердитель
hardness;твердость
hardness gauge;твердомер
hardness survey;наблюдение степени твердости
hardness tester;твердомер
Hardware components;Технические средства
harness;оснаска (проводка)
Hawse (pipe, hole);Клюз, якорная труба
Hawse hole;Отверстие для клюза, клюз
Hay mower;Сенокосилка
Hazards;Вредные факторы, риски
Head;Разность уровней, напор, давление (столба жидкости), высота столба (жидкости)
head tank of shaft seals;подпорная цистерна смазки вала
Headman;Бригадир
Headman-shipbuilder;Бригадир-корпусник
Headphones;Наушники
Headpieces;Наушники
Headsets;Наушники
Health centre;Поликлиника
healthy increase;существенное увеличение, умеренный рост
Heat and cold development;Тепловое и холодное проявление
Heat emission;Выделение теплоты
heat exchanger;теплообменник, охладитель
Heat hardening;Закалка
heat input;количество тепла
Heating coil;Нагревательная спираль
Heavy coating;Толстослойное покрытие
Heavy duty coating;Высокопрочное покрытие
Heavy duty revetment;Прочное покрытие
Heavy fuel oil;Тяжелое топливо
Heavy-duty part;Тяжелонагруженная деталь
heel;крен
heel support;нижняя опора
Heeling tank;Креновая цистерна
Helicopter hoisting;Подъем вертолета
help;помощь, помогать
Help stairs;Вспомогательные трапы
helpdesk;Справочный стол
hence;следовательно
Here and there;Кое-где
Hexagon head bolt;Болт с шестигранной головкой
Hexagon nut;Шестигранная головка
high built;высококонструктивный
High head end;Высокая панель кровати, где лежит голова
high pressure cleaner;насос высокого давления для очистки холодной воды
high pressure pump for cold water cleaning;насос высокого давления для очистки холодной воды
High purity;Высокой степени прочности
High temperature column;Высокотемпературная колонка
High temperature resistant glue;Высокотемпературный защитный клей
high-alloyed;высоколегированный
Hindrance;Препятствие
hinge;навес дверной, петля
hinge side;"откидная сторона (борт); ""шарнирная"" сторона (решетки)"
hinged window;створчатый иллюминатор
Hithermost;Самый ближний, ближайший
hog of shop’s fore and after ends;перегиб носовых и кормовых оконечностей судна
Hoist;"Лебедка; подъем; высота подъема; тали; поднимать, поднимать на талях"
Hoisting room;Помещение для лебедки
hold;трюм
holder;Подвеска
Holding down tie;Соединительная связь (стяжка)
holding pan;закрепляющие поддоны
hole;отверстие, вырез, яма
holidays;Незакрашенные места, пропуски, необработанные по недосмотру места (при окраске или очистке поверхности)
Hood trunk;Вытяжной шкаф
hook;гак, крюк
hook bolt;болт для сцепления
Hook knee;Подкос
Hook tip;Верхушка крюка
hoop;кольцо
Hoop guard;Кольцевое ограждение
hooter;гудок
Hopper;Хоппер, загрузочная воронка, бункер, приемный желоб, смывной бачок
Hor water pump circ. system;Насосная (водоотливная) циркуляционная система горячей воды
Horizon = building berth position;Горизонт = стапельное положение
hose;шланг
hose coupling;соединительная гайка шланга
hose test;испытание на водонипроницаемость струей воды из шланга
Hose testing;Налив водой
Hot water circ. pump;Циркуляционный насос горячей воды
